Start Time,Sensor,Fault Type,Trial #,Attack Time,Avg Deviation (m),Max Deviation (m),Attack Result,Impact,Failsafe triggered?,Failsafe Type
20251203_200345,GPS,precision_damage,1,2,0.07,0.26,Fail,0,Yes,EKF Primary Changed
20251219_145709,GPS,precision_damage,2,2,0.28,2.34,Success,0,Yes,EKF Primary Changed
20251219_151256,GPS,precision_damage,3,2,0.17,1.09,Success,1,Yes,Critical Failsafe condition triggered
20251203_200503,GPS,precision_damage,1,5,0,0.2248110082,Fail,0,Yes,EKF Primary Changed
20251219_152233,GPS,precision_damage,2,5,0.09,0.27,Success,0,Yes,EKF Primary Changed
20251219_152651,GPS,precision_damage,3,5,0.17,1.63,Success,0,Yes,EKF Primary Changed
20251203_200623,GPS,precision_damage,1,10,0.08,0.68,Fail,0,Yes,EKF Primary Changed
20251219_153220,GPS,precision_damage,2,10,0.16,5.08,Success,0,Yes,EKF Primary Changed
20251219_153556,GPS,precision_damage,3,10,0.2,1.39,Success,0,Yes,EKF Primary Changed
20251203_200755,GPS,stuck,1,2,0,0.03,Fail,0,No,
20251219_154041,GPS,stuck,2,2,0,0.01,Success,0,Yes,EKF Primary Changed
20251219_154508,GPS,stuck,3,2,0,0,Fail,0,No,
20251203_200956,GPS,stuck,1,5,0.11,0.36,Fail,0,No,
20251219_154858,GPS,stuck,2,5,0.08,0.22,Success,0,Yes,EKF Primary Changed
20251219_161906,GPS,stuck,3,5,0.18,2.27,Success,0,Yes,EKF Primary Changed
20251203_201208,GPS,stuck,1,10,0.16,0.7,Fail,0,No,
20251219_162402,GPS,stuck,2,10,0.16,2.22,Success,1,Yes,Critical Failsafe condition triggered
20251219_162941,GPS,stuck,3,10,0.19,5.14,Success,0,Yes,Critical Failsafe condition triggered
20251203_201410,GPS,short_circuit,1,2,0,0,Success,1,Yes,Critical Failsafe condition triggered
20251219_163401,GPS,short_circuit,2,2,0.13,1.08,Success,1,Yes,Critical Failsafe condition triggered
20251219_163756,GPS,short_circuit,3,2,0.15,1.59,Success,1,Yes,Critical Failsafe condition triggered
20251203_201522,GPS,short_circuit,1,5,0.01,0.12,Fail,0,No,
20251219_164046,GPS,short_circuit,2,5,0.13,1,Success,1,Yes,Critical Failsafe condition triggered
20251219_164626,GPS,short_circuit,3,5,0,0,Success,0,Yes,EKF Failure
20251203_201707,GPS,short_circuit,1,10,0,0,Success,1,No,
20251219_165054,GPS,short_circuit,2,10,0.09,0.2,Success,0,Yes,EKF Primary Changed
20251219_165512,GPS,short_circuit,3,10,0.13,0.71,Success,1,Yes,Critical Failsafe condition triggered
20251219_170924,GPS,constant_deviation,1,2,0.16,1.64,Success,0,No,
20251219_170108,GPS,constant_deviation,2,2,0.16,3.1,Fail,0,No,
20251219_170441,GPS,constant_deviation,3,2,0.17,1.57,Success,1,Yes,Critical Failsafe Condition triggered
20251203_203428,GPS,constant_deviation,1,5,0.42,1.16,Fail,0,No,
20251219_171351,GPS,constant_deviation,2,5,0.17,1.07,Fail,0,No,
20251219_171846,GPS,constant_deviation,3,5,0.14,1.59,Fail,0,No,
20251203_210647,GPS,constant_deviation,1,10,0,0,Success,0,No,
20251219_172636,GPS,constant_deviation,2,10,0.25,6.43,Success,0,No,
